ID,Location1,Location2,Distance_km
96,Beliny-Prażmowskiego – Brodowicza,Ks. Józefa – Jodłowa,6.710412473456007
97,Beliny-Prażmowskiego – Brodowicza,Zakopiańska – Jugowicka – Zawiła,7.212172913736282
98,Beliny-Prażmowskiego – Brodowicza,Mogilska – Lema – al. Jana Pawła II – Meissnera,1.7474767722583946
99,Beliny-Prażmowskiego – Brodowicza,Księcia Józefa – Most Zwierzyniecki,4.524006622707898
100,Beliny-Prażmowskiego – Brodowicza,Pachońskiego – Sosabowskiego – Trasa Wolbromska,3.69625626861967
101,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Mickiewicza – Piłsudskiego – Focha,2.7866567255802077
102,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Mickiewicza – Reymonta,3.283951616499916
103,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Słowackiego – Prądnicka – Długa,4.161928949226277
104,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Beliny-Prażmowskiego – Brodowicza,3.768172345855195
105,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,1.7133900983615644
106,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Zakopiańska – Wadowicka – Tischnera – Brożka,0.8608507359775606
107,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,1.253194479213763
108,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,1.6013973379505289
109,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Bratysławska – Doktora Twardego – Wybickiego,5.316394445435005
110,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Piastowska – Lea,4.745316943712551
111,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Armii Krajowej – Zarzecze,5.755316339064046
112,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,2.121008413595462
113,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Piastowska – Armii Krajowej – Nawojki,4.5735173902684
114,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Herberta – Turowicza – Trasa Łagiewnicka,2.4173972204603293
115,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Witosa – Nowosądecka – Łużycka,3.0755557141490604
116,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Nowosądecka,3.108904166601295
117,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Wielicka – Teligi – Kostaneckiego,4.897628842060431
118,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,8.776322002528728
119,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.172537787499136
120,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),al. 29 Listopada – Opolska – Lublańska,5.623700446497592
121,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Ks. Józefa – Jodłowa,5.024441487833875
122,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Zakopiańska – Jugowicka – Zawiła,3.4449783309969932
123,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Mogilska – Lema – al. Jana Pawła II – Meissnera,4.948636896440045
124,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),Księcia Józefa – Most Zwierzyniecki,3.0038656600739464
