ID,Location1,Location2,Distance_km,Travel_Time_hr
132,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,1.750426598936994,0:01:51.350248
133,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,4.578638895344503,0:04:16.585542
134,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Bratysławska – Doktora Twardego – Wybickiego,5.574375711358114,0:06:35.169705
135,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Piastowska – Lea,4.763416047972443,0:05:36.780609
136,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Armii Krajowej – Zarzecze,6.028083643103222,0:07:07.836676
137,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,2.396563346460415,0:02:32.093479
138,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Piastowska – Armii Krajowej – Nawojki,4.514220670084334,0:05:18.838542
139,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Herberta – Turowicza – Trasa Łagiewnicka,5.034147980825857,0:04:53.804244
140,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Witosa – Nowosądecka – Łużycka,5.778250634889767,0:06:13.629565
141,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Nowosądecka,5.636605216733231,0:05:30.404352
142,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Wielicka – Teligi – Kostaneckiego,7.454938398520652,0:07:03.835199
143,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,10.725562424333077,0:12:10.496922
144,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,9.837910974957556,0:09:53.497659
145,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,al. 29 Listopada – Opolska – Lublańska,6.486870972621075,0:07:02.227230
146,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Ks. Józefa – Jodłowa,3.785159020790355,0:04:32.434780
147,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Zakopiańska – Jugowicka – Zawiła,5.167543453417482,0:05:19.375417
148,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Mogilska – Lema – al. Jana Pawła II – Meissnera,6.25123972782647,0:07:37.871033
149,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Księcia Józefa – Most Zwierzyniecki,1.4852349579400816,0:01:37.124718
150,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,Pachońskiego – Sosabowskiego – Trasa Wolbromska,7.10752821958709,0:08:22.649708
